"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"Cijk_Ailk_Bljk_SB_MT128x128x16_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS0_FSSC10_FL0_GRPM1_GRVW4_GSU1_GSUAMB_GLS0_ISA1100_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW4_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFGLC_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA1_SS0_SU32_SUM3_SUS128_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT8_16_TLDS0_UMLDSA0_UMLDSB0_USFGROn1_VAW1_VSn1_VW4_WSGRA0_WSGRB0_WS32_WG16_8_1_WGM1",50,58072062,1161441,0.2199751641357706
"mloPoolingMaxBwd",50,55539214,1110784,0.2103808147129628
"updateVars(int, float const*, float const*, float, float, float*, int)",7840,53314486,6800,0.20195361426401984
"filterAvgPoolDeriv(float const*, int, int, int, float*)",50,51909354,1038187,0.1966310179640568
"Cijk_Ailk_Bljk_SB_MT128x128x16_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS0_FSSC10_FL0_GRPM1_GRVW4_GSU1_GSUAMB_GLS0_ISA1100_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW4_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFGLC_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA1_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT8_16_TLDS0_UMLDSA0_UMLDSB0_USFGROn1_VAW1_VSn1_VW4_WSGRA0_WSGRB0_WS32_WG16_8_1_WGM1",50,51608988,1032179,0.1954932409009519
"updateParams(int, float*, float const*, float const*, float, float, float, float, float, int)",7840,47342013,6038,0.1793300723537729
"doFilterAvgPool(float const*, int, float*)",50,31041698,620833,0.1175849862641871
"softMax(float const*, int, int, float*)",50,14701429,294028,0.05568855566563794
"Cijk_Ailk_Bjlk_SB_MT64x64x8_SN_1LDSB0_APM1_ABV0_ACED0_AF0EM1_AF1EM1_AMAS3_ASE_ASGT_ASLT_ASAE01_ASCE01_ASEM1_AAC0_BL1_BS1_DTL0_DTVA0_DVO0_ETSP_EPS1_FSSC10_FL0_GRPM1_GRVW4_GSU1_GSUAMB_GLS0_ISA1100_IU1_K1_KLA_LBSPP0_LPA0_LPB0_LDL1_LRVW4_LWPMn1_LDW0_FMA_MIAV0_MDA2_MO40_MMFGLC_NTA0_NTB0_NTC0_NTD0_NEPBS0_NLCA1_NLCB1_ONLL1_OPLV0_PK0_PAP0_PGR1_PLR1_RK0_SIA1_SS0_SU0_SUM0_SUS0_SCIUI1_SPO0_SRVW0_SSO0_SVW4_SNLL0_TSGRA0_TSGRB0_TT8_8_TLDS0_UMLDSA0_UMLDSB0_USFGROn1_VAW1_VSn1_VW4_WSGRA0_WSGRB0_WS32_WG8_8_1_WGM1",50,14659024,293180,0.05552792684492933
"Cijk_S",6400,10572368,1651,0.04004780105972074
"MIOpenBatchNormFwdTrainSpatialFinalMeanVariance",650,8707515,13396,0.03298379591445685
"SubTensorOpWithScalar1d",700,6021310,8601,0.022808534946845125
"void rocrand_host::detail::generate_kernel<float, normal_distribution<float, unsigned int, 4u>>(rocrand_device::xorwow_engine*, unsigned int, float*, unsigned long, normal_distribution<float, unsigned int, 4u>)",54,1050721,19457,0.003980098458289651
"transpose(float const*, int, int, float*)",100,1012166,10121,0.0038340533178010173
"rocrand_host::detail::init_engines_kernel(rocrand_device::xorwow_engine*, unsigned int, unsigned long long, unsigned long long)",1,680763,680763,0.0025787090643097812
"crossEntropyDeriv(float*, int const*, int, int)",50,127881,2557,0.0004844092494054453
"setVal(int, float, float*)",53,120720,2277,0.0004572836041962868
